Gene1	Gene2	Weight
IGLV1-44	IGLV2-23	0.7273328
IGLV1-44	IGHV4-39	0.74565774
IGLV1-44	IGHV3-11	0.7652437
IGLV1-44	IGKV3-11	0.77880543
IGLV1-44	IGLV2-11	0.7180876
IGLV1-44	IGKV3-15	0.74785036
IGLV1-44	IGKV1-17	0.7491858
IGLV1-44	IGLC2	0.7606876
IGLV1-44	IGKV4-1	0.74882764
IGLV1-44	IGLV2-14	0.7529042
IGLV1-44	IGKC	0.73708373
IGLV1-44	IGLL5	0.7767382
IGLV1-44	IGHV4-31	0.72976035
IGLV1-44	IGKV2-28	0.73706657
IGLV1-44	IGHV1-46	0.75052834
IGLV1-44	IGHG2	0.7300751
IGLV1-44	IGLV1-40	0.74356
IGLV1-44	IGHV1-18	0.79419374
IGLV1-44	IGKV3-20	0.7516875
IGLV1-44	IGKV1-5	0.74537534
IGLV1-44	IGHV4-34	0.7155679
IGLV1-44	IGLV1-47	0.71103674
GABRA6	SLC13A1	0.70798844
GABRA6	TSPAN19	0.7055482
GABRA6	RP11-326K13.3	0.7058764
GABRA6	OR5T3	0.7045197
GABRA6	RP5-865N13.1	0.7077124
GABRA6	TECRL	0.7023136
GABRA6	RP11-2A4.4	0.7097294
GABRA6	C1orf141	0.7037434
OR10K1	CTD-3145H4.1	0.7024862
OR10K1	C16orf82	0.7054269
OR10K1	OR2J1	0.7088124
OR10K1	GAPDHP26	0.7185716
OR10K1	RP11-76I14.1	0.705831
OR10K1	ZSCAN5C	0.75830156
OR10K1	PABPC1P13	0.7250826
OR10K1	RP11-470L19.2	0.7189242
OR10K1	NCAPD2P1	0.71918344
OR10K1	RP11-56L13.1	0.70713717
OR10K1	CETN1	0.7113824
OR10K1	OR8G7P	0.78269726
OR10K1	OR4K15	0.70611924
OR10K1	OR4D10	0.7192697
OR10K1	OR4K5	0.7437921
OR10K1	RP11-16E18.1	0.7417791
OR10K1	ZNF72P	0.7090828
OR10K1	RP4-640H8.2	0.7228369
OR10K1	HSPD1P8	0.7068899
OR10K1	CACNG3	0.725751
OR10K1	RP11-1081L13.3	0.8138171
OR10K1	RP5-998G20.1	0.7107256
OR10K1	SSX2B	0.7244213
OR10K1	ASH2LP1	0.7162394
AC008060.7	LINC01192	0.70172143
AC008060.7	POU3F4	0.79049295
AC008060.7	MIR670HG	0.7274701
AC008060.7	MTND5P13	0.7209461
AC008060.7	BLACE	0.7191009
AC008060.7	HAND1	0.7038911
AC008060.7	MAPRE1P3	0.7190218
AC008060.7	OR8F1P	0.78391695
AC008060.7	SALL1P1	0.7214387
AC008060.7	HSPD1P3	0.7133357
AC008060.7	MTND4P5	0.7447119
AC008060.7	RP11-16E18.1	0.72855705
AC008060.7	NUTM2F	0.7385648
AC008060.7	RP11-775L16.1	0.7287399
PTPRD-AS2	LINC01192	0.7306153
PTPRD-AS2	HNF4GP1	0.73468214
PTPRD-AS2	RP11-294L13.1	0.7159169
PTPRD-AS2	RP3-399J4.4	0.73703796
PTPRD-AS2	RP4-668E10.4	0.73802996
PTPRD-AS2	GALNTL5	0.7012353
PTPRD-AS2	MTND5P13	0.79459524
PTPRD-AS2	BLACE	0.7248993
PTPRD-AS2	RP11-56L13.1	0.7229262
PTPRD-AS2	CTD-2544L4.1	0.7090269
PTPRD-AS2	RP11-946L20.1	0.77712244
PTPRD-AS2	LINC01299	0.70002794
PTPRD-AS2	PRDM9	0.72192496
PTPRD-AS2	RP11-475D12.2	0.7284954
PTPRD-AS2	RP11-19D2.2	0.75832635
PTPRD-AS2	RP11-568G20.2	0.7810852
PTPRD-AS2	AC062022.1	0.7337752
PTPRD-AS2	ANKRD26P2	0.7214334
PTPRD-AS2	CLEC4M	0.75637275
PTPRD-AS2	RP11-271F18.3	0.73432356
PTPRD-AS2	RP11-707A18.1	0.7158714
PTPRD-AS2	AC005176.2	0.7136865
AC006004.1	FBXL21	0.74771327
AC006004.1	RP11-38O23.4	0.73357743
AC006004.1	MTND5P13	0.751781
AC006004.1	OR6C68	0.71377546
AC006004.1	RP11-101C11.1	0.70966583
AC006004.1	TAAR2	0.790165
AC006004.1	OR5BE1P	0.73375255
AC006004.1	RP11-193H5.1	0.7029929
AC006004.1	PSMC1P6	0.7331397
AC006004.1	MTND1P7	0.7148892
AC006004.1	RP11-409K15.1	0.73118275
AC006004.1	LINC01222	0.7252967
AC006004.1	HTR5A-AS1	0.76020765
AC006004.1	AC073869.7	0.73236173
AC006004.1	UBTFL11	0.7233987
AC006004.1	AC005176.2	0.7134898
AC006004.1	MIR3663HG	0.70989084
AC006004.1	BPESC1	0.71345884
ONECUT3	MTND4P5	0.7118561
KCNMB3P1	SLC10A2	0.70859057
KCNMB3P1	HRG	0.72358316
KCNMB3P1	SLC13A1	0.70587224
KCNMB3P1	TSPAN19	0.7249282
KCNMB3P1	RP11-544D21.2	0.72199696
KCNMB3P1	FLJ33581	0.7121775
STIP1P3	LINC01104	0.7011222
STIP1P3	RP11-735A19.2	0.7146421
STIP1P3	MTND5P13	0.71089363
STIP1P3	LINC00298	0.7116162
STIP1P3	TISP43	0.7004967
STIP1P3	CYLC2	0.7159675
STIP1P3	RP11-193H5.1	0.70967054
STIP1P3	RP11-641A6.5	0.70810515
STIP1P3	RP11-568G20.2	0.7149555
STIP1P3	IL17A	0.7131436
STIP1P3	RP5-998G20.1	0.74585515
STIP1P3	RP11-60C6.6	0.7076792
STIP1P3	AC005176.2	0.7115559
STIP1P3	RP11-861E23.2	0.7059261
IGHV3-23	IGKV1D-39	0.79047364
IGHV3-23	IGHM	0.7418561
IGHV3-23	IGHV5-51	0.7622745
IGHV3-23	IGLV2-23	0.73079944
IGHV3-23	IGHV4-39	0.7578903
IGHV3-23	IGHV3-11	0.7497522
IGHV3-23	IGKV3-11	0.7748503
IGHV3-23	IGHG1	0.727765
IGHV3-23	IGHG3	0.71375656
IGHV3-23	IGKV3-15	0.7761676
IGHV3-23	IGLC7	0.7159471
IGHV3-23	IGKV4-1	0.76793224
IGHV3-23	IGLV2-14	0.7461784
IGHV3-23	IGKC	0.7948993
IGHV3-23	IGLL5	0.7721038
IGHV3-23	IGKV3D-20	0.71926326
IGHV3-23	IGHV1-46	0.7513066
IGHV3-23	IGHG2	0.7466801
IGHV3-23	IGLV1-40	0.7513817
IGHV3-23	IGHV1-18	0.74312145
IGHV3-23	IGKV1-5	0.7444112
IGHV3-23	IGLC1	0.76654696
IGHV3-23	IGLV1-47	0.7557685
RP11-629G13.1	CTD-3145H4.1	0.7068744
RP11-629G13.1	RP11-342M1.6	0.7327528
RP11-629G13.1	PRNT	0.7094169
RP11-629G13.1	HCRTR2	0.7185445
RP11-629G13.1	RP11-66A2.2	0.7160423
RP11-629G13.1	RP11-80F22.10	0.75117
RP11-629G13.1	AC062022.1	0.735424
RP11-629G13.1	XAGE1A	0.72240895
RP11-629G13.1	ZNF280A	0.7042279
RP11-629G13.1	LL22NC03-63E9.3	0.7190199
CTD-3145H4.1	LINC01192	0.72344416
CTD-3145H4.1	RP11-342M1.6	0.7070218
CTD-3145H4.1	HNF4GP1	0.78567284
CTD-3145H4.1	OR2J1	0.7512525
CTD-3145H4.1	SUCLA2P1	0.7595222
CTD-3145H4.1	SRP72P1	0.71723443
CTD-3145H4.1	OR4G1P	0.738039
CTD-3145H4.1	REG1B	0.70435506
CTD-3145H4.1	RP3-399J4.4	0.70254064
CTD-3145H4.1	RP11-1112C15.1	0.70169497
CTD-3145H4.1	HSP90AB7P	0.71650857
CTD-3145H4.1	AKAP4	0.7094551
CTD-3145H4.1	RP11-144L1.4	0.7263467
CTD-3145H4.1	RP11-434D2.3	0.76095825
CTD-3145H4.1	RP11-363G10.2	0.7517863
CTD-3145H4.1	CTC-525D6.1	0.7318657
CTD-3145H4.1	RP11-748H22.2	0.72020054
CTD-3145H4.1	RP11-470L19.2	0.7064945
CTD-3145H4.1	RP11-497J7.4	0.72250175
CTD-3145H4.1	MTND5P13	0.73832387
CTD-3145H4.1	RP11-362I1.2	0.75864774
CTD-3145H4.1	RP11-508O18.1	0.7220015
CTD-3145H4.1	AC013733.4	0.7628065
CTD-3145H4.1	MTND4P1	0.7566822
CTD-3145H4.1	LA16c-2F2.8	0.7848436
CTD-3145H4.1	SPATA31A6	0.7587905
CTD-3145H4.1	RP11-56L13.1	0.74789953
CTD-3145H4.1	CETN1	0.7615424
CTD-3145H4.1	PRDM9	0.7330906
CTD-3145H4.1	RP11-24P4.1	0.70381933
CTD-3145H4.1	RP5-865N13.1	0.7567933
CTD-3145H4.1	RP11-193H5.1	0.715188
CTD-3145H4.1	LL09NC01-254D11.1	0.7035329
CTD-3145H4.1	TRIM60P13	0.7631083
CTD-3145H4.1	VN1R7P	0.75216514
CTD-3145H4.1	RP11-19D2.2	0.729063
CTD-3145H4.1	RP11-436D23.1	0.74226993
CTD-3145H4.1	KRT17P4	0.7984083
CTD-3145H4.1	RP11-490G2.2	0.76100653
CTD-3145H4.1	RP11-16E18.1	0.8204759
CTD-3145H4.1	RP11-65D24.2	0.7171429
CTD-3145H4.1	RP11-313I2.5	0.75999016
CTD-3145H4.1	RP11-80F22.10	0.70332384
CTD-3145H4.1	RP11-2A4.4	0.7005415
CTD-3145H4.1	AC062022.1	0.73859054
CTD-3145H4.1	ANKRD26P2	0.7055722
CTD-3145H4.1	PRR23B	0.7422536
CTD-3145H4.1	LINC00210	0.7231054
CTD-3145H4.1	RP11-716D16.1	0.757736
CTD-3145H4.1	CLEC4M	0.702768
CTD-3145H4.1	KCNG4	0.70326084
CTD-3145H4.1	CTD-3229J4.1	0.7457383
CTD-3145H4.1	RP5-998G20.1	0.7088368
CTD-3145H4.1	RP11-158D2.2	0.72808844
CTD-3145H4.1	RP11-152L7.2	0.7351344
CTD-3145H4.1	CTD-2144E22.5	0.71341115
CTD-3145H4.1	BEND2	0.70820266
CTD-3145H4.1	LINC00661	0.7332258
CTD-3145H4.1	ME2P1	0.75750446
CTD-3145H4.1	ASH2LP1	0.75050944
CTD-3145H4.1	RP11-114H20.1	0.7517863
CTD-3145H4.1	LL22NC03-63E9.3	0.7242225
CTD-3145H4.1	LINC01346	0.709608
CTD-3145H4.1	LINC01516	0.714367
ATXN8OS	ANHX	0.702766
ATXN8OS	LPCAT2BP	0.7009837
ATXN8OS	GAPDHP26	0.72881144
ATXN8OS	RP11-495K9.2	0.73422956
ATXN8OS	NCAPD2P1	0.79755396
ATXN8OS	RP11-14C10.4	0.7240153
ATXN8OS	MAGEB6	0.70045096
ATXN8OS	RP3-449H6.2	0.79459494
ATXN8OS	CTD-2210P24.2	0.71769255
ATXN8OS	RP11-488I20.9	0.7131679
ATXN8OS	RP11-204I15.1	0.70503634
ATXN8OS	RP11-1081L13.3	0.7398739
ATXN8OS	GYG1P2	0.7072132
ATXN8OS	SSX2B	0.70907193
RP13-977E11.1	OR4A21P	0.7243486
RP13-977E11.1	AC068044.1	0.7218453
RP13-977E11.1	LINC00836	0.7155263
RP13-977E11.1	LINC00700	0.7013736
RP13-977E11.1	RP11-144L1.4	0.7128344
RP13-977E11.1	SLC4A1APP2	0.79319954
RP13-977E11.1	RP11-470L19.2	0.7529669
RP13-977E11.1	NCAPD2P1	0.7245855
RP13-977E11.1	RP11-118H4.1	0.76121825
RP13-977E11.1	RP11-747D18.1	0.7119765
RP13-977E11.1	RP11-25D10.2	0.759608
RP13-977E11.1	RP4-800O15.2	0.71432954
RP13-977E11.1	PAGE4	0.73901147
RP13-977E11.1	FAM47B	0.7245331
RP13-977E11.1	RP11-813N20.1	0.7281697
RP13-977E11.1	OR4D10	0.789479
RP13-977E11.1	OR4K5	0.70224977
RP13-977E11.1	RP11-568G20.2	0.7326557
RP13-977E11.1	PABPC1P9	0.75246555
RP13-977E11.1	CCT6P4	0.7097537
RP13-977E11.1	RP5-998G20.1	0.7104408
RP13-977E11.1	CTD-2122P11.1	0.7010431
FBXL21	OR4A21P	0.73156804
FBXL21	ZNF299P	0.8090932
FBXL21	PABPC1P12	0.74690455
FBXL21	AC005307.3	0.7929614
FBXL21	RP11-204E4.4	0.7374156
FBXL21	RP11-251P6.1	0.70835954
FBXL21	HSPD1P15	0.70450354
FBXL21	RP11-491F9.5	0.70368105
FBXL21	RP11-73G16.1	0.72788686
FBXL21	RP11-107P7.6	0.73781127
FBXL21	RP11-470L19.2	0.71645516
FBXL21	NEK2P2	0.7114406
FBXL21	TAAR2	0.7469514
FBXL21	RP11-342F21.1	0.7108596
FBXL21	OR5H15	0.72482896
FBXL21	AC105342.1	0.7019565
FBXL21	C16orf97	0.7056958
FBXL21	SALL1P1	0.72545123
FBXL21	RP11-284A20.2	0.7093707
FBXL21	OR4D10	0.733731
FBXL21	RP11-730N24.1	0.768795
FBXL21	RP11-143A12.3	0.72293454
FBXL21	HTR5A-AS1	0.7295757
FBXL21	LINC01551	0.75072783
FBXL21	CTC-546K23.1	0.71052116
FBXL21	AC021451.1	0.714612
FBXL21	RP11-541F9.2	0.7170697
FBXL21	MTRNR2L11	0.7385089
FBXL21	UBTFL11	0.77070737
FBXL21	LINC00967	0.722958
C16orf82	OR2T2	0.73720646
C16orf82	RP11-491F9.5	0.7395103
C16orf82	GALNTL5	0.7308635
C16orf82	RP11-470L19.2	0.7652475
C16orf82	RP11-124N3.2	0.70821077
C16orf82	OR6C74	0.7137938
C16orf82	CTD-2008P7.8	0.7021404
C16orf82	RP11-19D2.2	0.71309334
C16orf82	MTND1P7	0.71548945
C16orf82	OR4D10	0.7277739
C16orf82	RP11-301G19.2	0.8299878
C16orf82	HSPD1P8	0.7393477
C16orf82	BEND2	0.70186764
RP11-494M8.4	OR5P3	0.8208094
RP11-494M8.4	OR5P4P	0.7992778
RP11-494M8.4	RP11-35J10.6	0.75571793
RP11-494M8.4	OR5P1P	0.7727032
RP11-494M8.4	OR5E1P	0.7478265
RP11-494M8.4	OR5P2	0.8152828
RP11-494M8.4	OR10AB1P	0.8080786
RP11-104C4.2	OR4A21P	0.7470469
RP11-104C4.2	LINC01192	0.7023916
RP11-104C4.2	HNF4A	0.7279169
RP11-104C4.2	RP11-544P1.3	0.7318215
RP11-104C4.2	GMNC	0.75965714
RP11-104C4.2	ICE2P2	0.71713763
RP11-104C4.2	OR4G1P	0.7108143
RP11-104C4.2	ACTR3BP5	0.72353196
RP11-104C4.2	REG1B	0.7197323
RP11-104C4.2	HSPD1P15	0.7942915
RP11-104C4.2	HSFY1P1	0.71951574
RP11-104C4.2	RP4-668E10.4	0.7235832
RP11-104C4.2	LINC00700	0.7553499
RP11-104C4.2	GALNTL5	0.75379467
RP11-104C4.2	RP11-21L1.1	0.7118028
RP11-104C4.2	RP5-1077H22.2	0.71144134
RP11-104C4.2	UGT2B10	0.7553177
RP11-104C4.2	RIOK3P1	0.74997526
RP11-104C4.2	RP11-513O17.3	0.7220419
RP11-104C4.2	RP11-118H4.1	0.71487314
RP11-104C4.2	GLUD1P9	0.7576503
RP11-104C4.2	RP11-25D10.2	0.7199855
RP11-104C4.2	NEK2P2	0.7339682
RP11-104C4.2	RP11-809F4.3	0.72840214
RP11-104C4.2	TISP43	0.7099076
RP11-104C4.2	OR5H15	0.7210924
RP11-104C4.2	RP11-108B14.5	0.7346434
RP11-104C4.2	TCP10	0.72622997
RP11-104C4.2	CTD-2544L4.1	0.7240717
RP11-104C4.2	LINC01299	0.729754
RP11-104C4.2	SALL1P1	0.77675265
RP11-104C4.2	FAM47B	0.7072439
RP11-104C4.2	VN1R7P	0.71756434
RP11-104C4.2	SUCLG2P4	0.71144277
RP11-104C4.2	RP11-19D2.2	0.7078633
RP11-104C4.2	LINC01114	0.74123096
RP11-104C4.2	MTND4P5	0.71402645
RP11-104C4.2	RP11-638L3.3	0.73863333
RP11-104C4.2	RP11-560L11.1	0.7051852
RP11-104C4.2	MIR7515HG	0.72182494
RP11-104C4.2	OR4D10	0.7536041
RP11-104C4.2	RP11-568G20.2	0.7128186
RP11-104C4.2	RP11-143A12.3	0.7672407
RP11-104C4.2	OR12D3	0.72555643
RP11-104C4.2	LINC01304	0.7170234
RP11-104C4.2	VEZF1P1	0.74526614
RP11-104C4.2	OR2J2	0.7081682
RP11-104C4.2	RP5-998G20.1	0.72549075
RP11-104C4.2	AC009541.1	0.7102928
RP11-104C4.2	OR4K2	0.73972243
RP11-104C4.2	MTND5P30	0.7522628
RP11-104C4.2	MAPK6PS4	0.7101857
OR4A21P	ZNF299P	0.70716304
OR4A21P	PABPC1P12	0.7347552
OR4A21P	AC005307.3	0.733691
OR4A21P	ICE2P2	0.71650237
OR4A21P	OR4G1P	0.73864317
OR4A21P	RP11-463J7.2	0.71139127
OR4A21P	AC068044.1	0.70956224
OR4A21P	RP5-1119O21.2	0.7561867
OR4A21P	RP11-491F9.5	0.73871523
OR4A21P	LINC00836	0.7334483
OR4A21P	LINC00700	0.7347965
OR4A21P	CROCCP1	0.7382172
OR4A21P	HSP90AB7P	0.70169735
OR4A21P	RP11-144L1.4	0.71919495
OR4A21P	EEF1A1P36	0.76703686
OR4A21P	SLC4A1APP2	0.765223
OR4A21P	RP11-748H22.2	0.7270259
OR4A21P	RP11-470L19.2	0.793444
OR4A21P	RP11-646E18.4	0.7257121
OR4A21P	NCAPD2P1	0.7749259
OR4A21P	MTND5P13	0.70002145
OR4A21P	RP11-118H4.1	0.7289422
OR4A21P	RP11-747D18.1	0.7105736
OR4A21P	RP11-362I1.2	0.7487859
OR4A21P	VENTXP1	0.7004668
OR4A21P	CTC-525D6.3	0.70124704
OR4A21P	RP11-25D10.2	0.75677085
OR4A21P	NEK2P2	0.75428486
OR4A21P	RP5-944M2.3	0.7204245
OR4A21P	TISP43	0.7669435
OR4A21P	PAGE4	0.73483944
OR4A21P	OR5T3	0.7154074
OR4A21P	TAAR2	0.7196126
OR4A21P	RP11-593P24.2	0.7129209
OR4A21P	OR5BE1P	0.7353048
OR4A21P	SSX6	0.7326999
OR4A21P	AC105342.1	0.7514629
OR4A21P	OR8U1	0.7177647
OR4A21P	CYLC2	0.7164424
OR4A21P	SALL1P1	0.74322516
OR4A21P	FAM47B	0.75114495
OR4A21P	LINC00608	0.70156574
OR4A21P	VN1R7P	0.7594797
OR4A21P	SUCLG2P4	0.74280554
OR4A21P	OR2T4	0.72973776
OR4A21P	RP11-560L11.1	0.7397755
OR4A21P	OR4D10	0.7749202
OR4A21P	RP11-16E18.1	0.7155314
OR4A21P	RP11-730N24.1	0.7080806
OR4A21P	RP11-204I15.1	0.7483399
OR4A21P	KRT18P43	0.8129091
OR4A21P	PABPC1P9	0.7539194
OR4A21P	ANKRD26P2	0.72039574
OR4A21P	LINC00210	0.72187805
OR4A21P	TRIM49C	0.7263078
OR4A21P	LINC01551	0.7183385
OR4A21P	RP5-1004I9.1	0.73235327
OR4A21P	AC021451.1	0.7912283
OR4A21P	RP5-998G20.1	0.7228624
OR4A21P	RP11-541F9.2	0.70114094
OR4A21P	CTD-2122P11.1	0.72459245
OR4A21P	GYG1P2	0.72797936
OR4A21P	TARS2P1	0.7163487
OR4A21P	OR4K2	0.7784149
OR4A21P	MTRNR2L11	0.7281942
OR4A21P	MTND5P30	0.7581005
OR4A21P	UBTFL11	0.709462
LINC01104	MYT1L-AS1	0.70832014
LINC01104	LINC00550	0.77644086
LINC01104	PARP1P1	0.74068063
LINC01104	SMIM21	0.7436554
LINC01104	GLUD1P9	0.71014446
LINC01104	TAAR2	0.7216446
LINC01104	TOPAZ1	0.7264741
LINC01104	RP1-217P22.2	0.8023227
LINC01104	SPATA31A3	0.72457427
LINC01104	C16orf97	0.77614564
LINC01104	RP11-193H5.1	0.7670691
LINC01104	CTC-339O9.1	0.7041288
LINC01104	MTND1P7	0.74174404
LINC01104	OR12D3	0.70000905
LINC01104	HTR5A-AS1	0.7468961
LINC01104	HSPD1P8	0.7545735
LINC01104	MTRNR2L11	0.7608208
LINC01104	AC005176.2	0.73399
LINC01104	RP11-861E23.2	0.72418857
SLC10A2	HRG	0.7305407
SLC10A2	ACTR3BP5	0.71443063
SLC10A2	VN2R3P	0.746692
SLC10A2	RP11-521O16.2	0.7275247
SLC10A2	NLRP9P	0.76514673
SLC10A2	RP11-113I24.1	0.77209836
SLC10A2	CTD-2561F5.1	0.73032933
SLC10A2	CTA-212A2.3	0.7130769
SLC10A2	LINC00703	0.7125678
SLC10A2	TMPRSS11BNL	0.7629393
SLC10A2	RP11-271F18.3	0.70456094
SLC10A2	LINC00349	0.72228783
LINC01192	AC003984.1	0.76165605
LINC01192	RP11-595O22.1	0.7106928
LINC01192	HNF4GP1	0.73594475
LINC01192	HRG	0.7145435
LINC01192	SUCLA2P1	0.7137509
LINC01192	RP11-294L13.1	0.77888995
LINC01192	GMNC	0.7736897
LINC01192	ICE2P2	0.73499984
LINC01192	KCNK9	0.71992445
LINC01192	LPCAT2BP	0.75869036
LINC01192	LINC01206	0.7039845
LINC01192	ACTR3BP5	0.7255977
LINC01192	REG1B	0.7254789
LINC01192	HSPD1P15	0.732632
LINC01192	RP4-668E10.4	0.783488
LINC01192	RP11-14K3.1	0.74252135
LINC01192	RP11-1112C15.1	0.8018439
LINC01192	POU3F4	0.7022207
LINC01192	OR8K3	0.7295501
LINC01192	AC023128.2	0.7422426
LINC01192	RP11-363G10.2	0.75818825
LINC01192	GALNTL5	0.74136925
LINC01192	RP11-475A13.2	0.7194391
LINC01192	RP5-1077H22.2	0.7123828
LINC01192	MTND5P27	0.7320784
LINC01192	RP11-395E19.6	0.7228058
LINC01192	RP11-470L19.2	0.7120653
LINC01192	ADAM7	0.7541294
LINC01192	MC2R	0.7307597
LINC01192	LINC01320	0.729327
LINC01192	MTND5P13	0.7777168
LINC01192	BLACE	0.7289982
LINC01192	RP11-153K16.2	0.810328
LINC01192	RP11-747D18.1	0.7072746
LINC01192	SPATA31E2P	0.70387226
LINC01192	DKFZP434K028	0.7320888
LINC01192	RP11-68D16.2	0.7180956
LINC01192	MAGEB6	0.75079554
LINC01192	AC013733.4	0.72140867
LINC01192	RP11-25D10.2	0.71399087
LINC01192	RP11-481J2.2	0.7564063
LINC01192	AC020956.3	0.70546055
LINC01192	CTD-2342I9.1	0.7399208
LINC01192	RP3-449H6.2	0.71383387
LINC01192	TOPAZ1	0.7041383
LINC01192	OR5H15	0.7042919
LINC01192	HCRTR2	0.74855727
LINC01192	RP11-56L13.1	0.712123
LINC01192	CTD-2544L4.1	0.7435028
LINC01192	RP11-946L20.1	0.79886264
LINC01192	FAM169B	0.7136776
LINC01192	PRDM9	0.7793246
LINC01192	RP11-201A3.1	0.7212279
LINC01192	OR8U1	0.715277
LINC01192	RP5-865N13.1	0.73585814
LINC01192	RP11-193H5.1	0.7313099
LINC01192	LINC01566	0.7179168
LINC01192	RP11-475D12.2	0.7468212
LINC01192	TRIM60P13	0.7163885
LINC01192	RP11-19D2.2	0.76626235
LINC01192	TMPRSS11B	0.74388313
LINC01192	HSPD1P3	0.73750705
LINC01192	PASD1	0.71126133
LINC01192	KRT17P4	0.72064763
LINC01192	CTAGE13P	0.74092466
LINC01192	RPTN	0.701317
LINC01192	MTND4P5	0.7619099
LINC01192	PNPT1P2	0.72173744
LINC01192	HYALP1	0.7020717
LINC01192	MIR7515HG	0.70569557
LINC01192	SLC39A12-AS1	0.7097756
LINC01192	CTD-2561F5.1	0.7432521
LINC01192	RP11-568G20.2	0.7436059
LINC01192	RP11-66A2.2	0.75270003
LINC01192	LCE1B	0.79875153
LINC01192	RP11-730N24.1	0.707143
LINC01192	RP11-143A12.3	0.73783726
LINC01192	RP11-45K10.2	0.7128536
LINC01192	RP11-566K19.12	0.7579096
LINC01192	LINC01222	0.799385
LINC01192	RP11-80F22.10	0.72243667
LINC01192	RP4-640H8.2	0.7154396
LINC01192	HTR5A-AS1	0.7116205
LINC01192	RP5-963E22.5	0.72057813
LINC01192	ZNF536	0.7165256
LINC01192	AC062022.1	0.7037514
LINC01192	ANKRD26P2	0.7309103
LINC01192	PRR23B	0.7354011
LINC01192	LINC00703	0.7295483
LINC01192	XAGE1A	0.7368209
LINC01192	ACTR3BP3	0.75051355
LINC01192	FLJ33581	0.7532976
LINC01192	AC034110.1	0.75649977
LINC01192	CTD-2351A16.1	0.80296177
LINC01192	IAPP	0.7111606
LINC01192	RP11-244B22.6	0.74454147
LINC01192	FLJ22763	0.72575206
LINC01192	RP11-10O22.1	0.71109563
LINC01192	HSPD1P7	0.75313646
LINC01192	RP11-152L7.2	0.7450013
LINC01192	RP11-707A18.1	0.7668934
LINC01192	ME2P1	0.7428382
LINC01192	RP11-114H20.1	0.75818825
LINC01192	AC018890.4	0.75171465
AC003984.1	RGSL1	0.70167583
AC003984.1	RP11-588G21.2	0.7219128
AC003984.1	RP4-668E10.4	0.77027684
AC003984.1	PARP1P1	0.72974634
AC003984.1	RP5-1077H22.2	0.7010403
AC003984.1	RP11-68D16.2	0.7365381
AC003984.1	TOPAZ1	0.7377388
AC003984.1	RP11-946L20.1	0.7219061
AC003984.1	SSX6	0.7352535
AC003984.1	OR8U1	0.728759
AC003984.1	RP11-475D12.2	0.7454894
AC003984.1	LINC01080	0.72619706
AC003984.1	KIF2B	0.73917556
AC003984.1	LINC01222	0.756502
AC003984.1	CTD-2351A16.1	0.7554898
AC003984.1	RP11-244B22.6	0.71883696
AC003984.1	RP11-380D15.2	0.7821121
AC003984.1	LINC01111	0.74799484
RP11-63B13.1	FSCB	0.70754415
RP11-63B13.1	RP11-747D18.1	0.7292166
RP11-63B13.1	RP11-124N3.2	0.70976216
RP11-63B13.1	RP11-425A6.5	0.7110601
RP11-63B13.1	CTD-2008P7.8	0.718162
RP11-63B13.1	ANKRD26P2	0.7057317
RP11-63B13.1	RP11-234O6.2	0.742676
ZNF299P	PABPC1P12	0.7030774
ZNF299P	AC005307.3	0.74385494
ZNF299P	LINC00934	0.7279866
ZNF299P	GMNC	0.7360809
ZNF299P	LPCAT2BP	0.7064772
ZNF299P	HSPD1P15	0.745307
ZNF299P	HSFY1P1	0.7024663
ZNF299P	MAPK6PS2	0.7028859
ZNF299P	RP11-73G16.1	0.7369445
ZNF299P	RP11-107P7.6	0.7059656
ZNF299P	RP11-410C4.5	0.71787554
ZNF299P	MTND5P27	0.7097862
ZNF299P	RP11-25D10.2	0.71457577
ZNF299P	NEK2P2	0.72248393
ZNF299P	RP5-944M2.3	0.7299409
ZNF299P	REG1P	0.70189756
ZNF299P	RP11-342F21.1	0.703929
ZNF299P	OR5H15	0.7598057
ZNF299P	AC105342.1	0.7036209
ZNF299P	PKP4P1	0.7407748
ZNF299P	C16orf97	0.7087247
ZNF299P	OR2M1P	0.73568434
ZNF299P	SALL1P1	0.76599854
ZNF299P	PSMC1P6	0.714798
ZNF299P	RP11-284A20.2	0.7814822
ZNF299P	HYALP1	0.70773214
ZNF299P	OR4D10	0.7119713
ZNF299P	RP11-316N24.2	0.7203767
ZNF299P	RP11-730N24.1	0.7244367
ZNF299P	LINC01222	0.71073264
ZNF299P	CTD-2351A16.1	0.705393
ZNF299P	CTC-546K23.1	0.722568
ZNF299P	AC021451.1	0.7057853
ZNF299P	RP11-116O11.1	0.70591265
ZNF299P	RP11-541F9.2	0.7790058
ZNF299P	OR4K2	0.7544252
ZNF299P	MTND5P30	0.77413553
ZNF299P	UBTFL11	0.74946404
ZNF299P	LINC00967	0.73821336
RP11-805I24.3	REG1B	0.70186454
RP11-805I24.3	RP11-698E18.1	0.7683227
RP11-805I24.3	LINC01320	0.70408946
RP11-805I24.3	CTC-525D6.3	0.7432274
RP11-805I24.3	RP11-508O18.1	0.7628415
RP11-805I24.3	AC013733.4	0.70840716
RP11-805I24.3	LINC00454	0.7547272
RP11-805I24.3	LA16c-2F2.8	0.7131886
RP11-805I24.3	PRDM9	0.7721198
RP11-805I24.3	RP11-66A2.2	0.7342376
